,year_month,predicted,actual_demand,mape,h1,channel,statistical_accuracy,total_accuracy,client_id,last_updated_at
71,2024-09-01,882.0749999999999,868.549,0.9844269004972662,Fruits,Ecomm,0,1,1,2024-10-21
72,2024-07-01,19262.466,16321.234,0.8197910770717459,Fruits,Export_Re-Export,1,0,1,2024-10-21
73,2024-08-01,18905.398,22967.64,0.8231319369338774,Fruits,Export_Re-Export,1,0,1,2024-10-21
74,2024-09-01,19549.017,15689.04,0.7539698413669671,Fruits,Export_Re-Export,1,0,1,2024-10-21
75,2024-07-01,19262.466,16321.234,0.8197910770717459,Fruits,Export_Re-Export,0,1,1,2024-10-21
76,2024-08-01,18905.398,22967.64,0.8231319369338774,Fruits,Export_Re-Export,0,1,1,2024-10-21
77,2024-09-01,19549.017,15689.04,0.7539698413669671,Fruits,Export_Re-Export,0,1,1,2024-10-21
78,2024-07-01,7650.007,7871.877,0.9718148543225459,Fruits,Retail,1,0,1,2024-10-21
79,2024-08-01,7842.492,7830.204,0.9984306922271756,Fruits,Retail,1,0,1,2024-10-21
80,2024-09-01,7962.378,7962.448,0.9999912087337963,Fruits,Retail,1,0,1,2024-10-21
81,2024-07-01,7650.007,7871.877,0.9718148543225459,Fruits,Retail,0,1,1,2024-10-21
82,2024-08-01,7842.492,7830.204,0.9984306922271756,Fruits,Retail,0,1,1,2024-10-21
83,2024-09-01,7962.378,7962.448,0.9999912087337963,Fruits,Retail,0,1,1,2024-10-21
84,2024-07-01,100172.51,97490.861,0.9724933294003836,Fruits,ALL,1,0,1,2024-10-21
85,2024-08-01,98627.718,126060.745,0.7823824775904664,Fruits,ALL,1,0,1,2024-10-21
86,2024-09-01,111944.286,98842.206,0.8674444801444436,Fruits,ALL,1,0,1,2024-10-21
87,2024-07-01,100172.51,97490.861,0.9724933294003836,Fruits,ALL,0,1,1,2024-10-21
88,2024-08-01,98627.718,126060.745,0.7823824775904664,Fruits,ALL,0,1,1,2024-10-21
89,2024-09-01,111944.286,98842.206,0.8674444801444436,Fruits,ALL,0,1,1,2024-10-21
90,2024-07-01,237557.434,247778.833,0.9587478927225394,"Flour, Grain & Flakes",B2B,1,0,1,2024-10-21
91,2024-08-01,249541.45,264565.499,0.9432123649652444,"Flour, Grain & Flakes",B2B,1,0,1,2024-10-21
92,2024-09-01,251402.951,241846.825,0.9604868660152971,"Flour, Grain & Flakes",B2B,1,0,1,2024-10-21
93,2024-07-01,237557.434,247778.833,0.9587478927225394,"Flour, Grain & Flakes",B2B,0,1,1,2024-10-21
94,2024-08-01,249541.45,264565.499,0.9432123649652444,"Flour, Grain & Flakes",B2B,0,1,1,2024-10-21
95,2024-09-01,251402.951,241846.825,0.9604868660152971,"Flour, Grain & Flakes",B2B,0,1,1,2024-10-21
96,2024-07-01,4184.048,5755.691,0.7269410397465743,"Flour, Grain & Flakes",Ecomm,1,0,1,2024-10-21
97,2024-08-01,4262.8279999999995,4498.838,0.9475397869405389,"Flour, Grain & Flakes",Ecomm,1,0,1,2024-10-21
98,2024-09-01,4658.7029999999995,5343.031,0.871921386943104,"Flour, Grain & Flakes",Ecomm,1,0,1,2024-10-21
99,2024-07-01,4184.048,5755.691,0.7269410397465743,"Flour, Grain & Flakes",Ecomm,0,1,1,2024-10-21
100,2024-08-01,4262.8279999999995,4498.838,0.9475397869405389,"Flour, Grain & Flakes",Ecomm,0,1,1,2024-10-21
101,2024-09-01,4658.7029999999995,5343.031,0.871921386943104,"Flour, Grain & Flakes",Ecomm,0,1,1,2024-10-21
102,2024-07-01,15340.444,10129.018,0.48549543499675885,"Flour, Grain & Flakes",Export_Re-Export,1,0,1,2024-10-21
103,2024-08-01,13942.777,9712.16,0.5643999892917744,"Flour, Grain & Flakes",Export_Re-Export,1,0,1,2024-10-21
104,2024-09-01,14765.191,8357.254,0.23324850483185033,"Flour, Grain & Flakes",Export_Re-Export,1,0,1,2024-10-21
105,2024-07-01,15340.444,10129.018,0.48549543499675885,"Flour, Grain & Flakes",Export_Re-Export,0,1,1,2024-10-21
106,2024-08-01,13942.777,9712.16,0.5643999892917744,"Flour, Grain & Flakes",Export_Re-Export,0,1,1,2024-10-21
107,2024-09-01,14765.191,8357.254,0.23324850483185033,"Flour, Grain & Flakes",Export_Re-Export,0,1,1,2024-10-21
108,2024-07-01,31993.245,33268.073,0.9616801369889985,"Flour, Grain & Flakes",Retail,1,0,1,2024-10-21
109,2024-08-01,34476.698,41151.92,0.837790751926034,"Flour, Grain & Flakes",Retail,1,0,1,2024-10-21
110,2024-09-01,41348.873,37095.968,0.8853539824058507,"Flour, Grain & Flakes",Retail,1,0,1,2024-10-21
111,2024-07-01,31993.245,33268.073,0.9616801369889985,"Flour, Grain & Flakes",Retail,0,1,1,2024-10-21
112,2024-08-01,34476.698,41151.92,0.837790751926034,"Flour, Grain & Flakes",Retail,0,1,1,2024-10-21
113,2024-09-01,41348.873,37095.968,0.8853539824058507,"Flour, Grain & Flakes",Retail,0,1,1,2024-10-21
114,2024-07-01,289075.171,296931.615,0.9735412344017325,"Flour, Grain & Flakes",ALL,1,0,1,2024-10-21
115,2024-08-01,302223.753,319928.417,0.9446605457370172,"Flour, Grain & Flakes",ALL,1,0,1,2024-10-21
116,2024-09-01,312175.718,292643.078,0.9332543925744247,"Flour, Grain & Flakes",ALL,1,0,1,2024-10-21
117,2024-07-01,289075.171,296931.615,0.9735412344017325,"Flour, Grain & Flakes",ALL,0,1,1,2024-10-21
118,2024-08-01,302223.753,319928.417,0.9446605457370172,"Flour, Grain & Flakes",ALL,0,1,1,2024-10-21
119,2024-09-01,312175.718,292643.078,0.9332543925744247,"Flour, Grain & Flakes",ALL,0,1,1,2024-10-21
120,2024-07-01,30833.814,31671.232,0.9735590330050943,"Nuts, Seeds & Beans",B2B,1,0,1,2024-10-21
121,2024-08-01,30019.996,33995.909999999996,0.8830472842174251,"Nuts, Seeds & Beans",B2B,1,0,1,2024-10-21
122,2024-09-01,68205.644,31649.317,0.0,"Nuts, Seeds & Beans",B2B,1,0,1,2024-10-21
123,2024-07-01,30833.814,31671.232,0.9735590330050943,"Nuts, Seeds & Beans",B2B,0,1,1,2024-10-21
124,2024-08-01,30019.996,33995.909999999996,0.8830472842174251,"Nuts, Seeds & Beans",B2B,0,1,1,2024-10-21
125,2024-09-01,68205.644,31649.317,0.0,"Nuts, Seeds & Beans",B2B,0,1,1,2024-10-21
126,2024-07-01,642.018,611.414,0.9499455360852057,"Nuts, Seeds & Beans",Ecomm,1,0,1,2024-10-21
127,2024-08-01,572.656,552.314,0.9631695014068085,"Nuts, Seeds & Beans",Ecomm,1,0,1,2024-10-21
128,2024-09-01,1026.214,535.182,0.08249530066407329,"Nuts, Seeds & Beans",Ecomm,1,0,1,2024-10-21
129,2024-07-01,642.018,611.414,0.9499455360852057,"Nuts, Seeds & Beans",Ecomm,0,1,1,2024-10-21
130,2024-08-01,572.656,552.314,0.9631695014068085,"Nuts, Seeds & Beans",Ecomm,0,1,1,2024-10-21
131,2024-09-01,1026.214,535.182,0.08249530066407329,"Nuts, Seeds & Beans",Ecomm,0,1,1,2024-10-21
132,2024-07-01,6726.412,5382.834,0.7503957952260835,"Nuts, Seeds & Beans",Export_Re-Export,1,0,1,2024-10-21
133,2024-08-01,6482.592,3787.7799999999997,0.28855107741209884,"Nuts, Seeds & Beans",Export_Re-Export,1,0,1,2024-10-21
134,2024-09-01,12403.968,4596.602,0.0,"Nuts, Seeds & Beans",Export_Re-Export,1,0,1,2024-10-21
135,2024-07-01,6726.412,5382.834,0.7503957952260835,"Nuts, Seeds & Beans",Export_Re-Export,0,1,1,2024-10-21
136,2024-08-01,6482.592,3787.7799999999997,0.28855107741209884,"Nuts, Seeds & Beans",Export_Re-Export,0,1,1,2024-10-21
137,2024-09-01,12403.968,4596.602,0.0,"Nuts, Seeds & Beans",Export_Re-Export,0,1,1,2024-10-21
138,2024-07-01,10650.662,9823.028,0.9157455318258281,"Nuts, Seeds & Beans",Retail,1,0,1,2024-10-21
139,2024-08-01,10342.686,11611.666,0.8907150791281803,"Nuts, Seeds & Beans",Retail,1,0,1,2024-10-21
140,2024-09-01,21570.242,10525.804,0.0,"Nuts, Seeds & Beans",Retail,1,0,1,2024-10-21
141,2024-07-01,10650.662,9823.028,0.9157455318258281,"Nuts, Seeds & Beans",Retail,0,1,1,2024-10-21
142,2024-08-01,10342.686,11611.666,0.8907150791281803,"Nuts, Seeds & Beans",Retail,0,1,1,2024-10-21
143,2024-09-01,21570.242,10525.804,0.0,"Nuts, Seeds & Beans",Retail,0,1,1,2024-10-21
144,2024-07-01,48852.906,47488.508,0.9712688804626163,"Nuts, Seeds & Beans",ALL,1,0,1,2024-10-21
145,2024-08-01,47417.93,49947.67,0.9493521920041516,"Nuts, Seeds & Beans",ALL,1,0,1,2024-10-21
146,2024-09-01,103206.068,47306.905,0.0,"Nuts, Seeds & Beans",ALL,1,0,1,2024-10-21
147,2024-07-01,48852.906,47488.508,0.9712688804626163,"Nuts, Seeds & Beans",ALL,0,1,1,2024-10-21
148,2024-08-01,47417.93,49947.67,0.9493521920041516,"Nuts, Seeds & Beans",ALL,0,1,1,2024-10-21
149,2024-09-01,103206.068,47306.905,0.0,"Nuts, Seeds & Beans",ALL,0,1,1,2024-10-21
150,2024-07-01,118370.20391,201343.2624,0.5879024830482731,Non Food,B2B,1,0,1,2024-10-21
151,2024-08-01,119457.39130999999,141627.32738,0.8434628649701488,Non Food,B2B,1,0,1,2024-10-21
152,2024-09-01,145375.63931,148567.2836,0.9785171794714028,Non Food,B2B,1,0,1,2024-10-21
153,2024-07-01,118370.20391,201343.2624,0.5879024830482731,Non Food,B2B,0,1,1,2024-10-21
154,2024-08-01,119457.39130999999,141627.32738,0.8434628649701488,Non Food,B2B,0,1,1,2024-10-21
155,2024-09-01,145375.63931,148567.2836,0.9785171794714028,Non Food,B2B,0,1,1,2024-10-21
156,2024-07-01,3357.4880000000003,6461.146,0.5196428002091271,Non Food,Ecomm,1,0,1,2024-10-21
157,2024-08-01,2902.019,2928.442,0.9909771134275495,Non Food,Ecomm,1,0,1,2024-10-21
158,2024-09-01,4437.342,2250.495,0.028281778008838132,Non Food,Ecomm,1,0,1,2024-10-21
159,2024-07-01,3357.4880000000003,6461.146,0.5196428002091271,Non Food,Ecomm,0,1,1,2024-10-21
160,2024-08-01,2902.019,2928.442,0.9909771134275495,Non Food,Ecomm,0,1,1,2024-10-21
161,2024-09-01,4437.342,2250.495,0.028281778008838132,Non Food,Ecomm,0,1,1,2024-10-21
162,2024-07-01,7166.94789,5594.014,0.7188183851524146,Non Food,Export_Re-Export,1,0,1,2024-10-21
163,2024-08-01,7056.18389,1698.578,0.0,Non Food,Export_Re-Export,1,0,1,2024-10-21
164,2024-09-01,8361.33889,7902.24,0.9419026896171211,Non Food,Export_Re-Export,1,0,1,2024-10-21
165,2024-07-01,7166.94789,5594.014,0.7188183851524146,Non Food,Export_Re-Export,0,1,1,2024-10-21
166,2024-08-01,7056.18389,1698.578,0.0,Non Food,Export_Re-Export,0,1,1,2024-10-21
167,2024-09-01,8361.33889,7902.24,0.9419026896171211,Non Food,Export_Re-Export,0,1,1,2024-10-21
168,2024-07-01,253204.4542,230724.53561,0.902568148937578,Non Food,Retail,1,0,1,2024-10-21
169,2024-08-01,227418.36196,240661.9192,0.9449702832752944,Non Food,Retail,1,0,1,2024-10-21
170,2024-09-01,247314.93709,202582.98514,0.7791919596846356,Non Food,Retail,1,0,1,2024-10-21
171,2024-07-01,253204.4542,230724.53561,0.902568148937578,Non Food,Retail,0,1,1,2024-10-21
172,2024-08-01,227418.36196,240661.9192,0.9449702832752944,Non Food,Retail,0,1,1,2024-10-21
173,2024-09-01,247314.93709,202582.98514,0.7791919596846356,Non Food,Retail,0,1,1,2024-10-21
174,2024-07-01,382099.094,444122.95801,0.8603452875124653,Non Food,ALL,1,0,1,2024-10-21
175,2024-08-01,356833.95616,386916.26658,0.9222511095594372,Non Food,ALL,1,0,1,2024-10-21
176,2024-09-01,405489.25729,361303.00374,0.8777030550739701,Non Food,ALL,1,0,1,2024-10-21
177,2024-07-01,382099.094,444122.95801,0.8603452875124653,Non Food,ALL,0,1,1,2024-10-21
178,2024-08-01,356833.95616,386916.26658,0.9222511095594372,Non Food,ALL,0,1,1,2024-10-21
179,2024-09-01,405489.25729,361303.00374,0.8777030550739701,Non Food,ALL,0,1,1,2024-10-21
180,2024-07-01,150156.011,112692.932,0.6675649631691187,Beverage,B2B,1,0,1,2024-10-21
181,2024-08-01,110765.118,121420.7,0.9122424594817853,Beverage,B2B,1,0,1,2024-10-21
182,2024-09-01,125391.811,130161.338,0.9633568072264285,Beverage,B2B,1,0,1,2024-10-21
183,2024-07-01,150156.011,112692.932,0.6675649631691187,Beverage,B2B,0,1,1,2024-10-21
184,2024-08-01,110765.118,121420.7,0.9122424594817853,Beverage,B2B,0,1,1,2024-10-21
185,2024-09-01,125391.811,130161.338,0.9633568072264285,Beverage,B2B,0,1,1,2024-10-21
186,2024-07-01,1595.924,10613.813,0.15036292800711681,Beverage,Ecomm,1,0,1,2024-10-21
187,2024-08-01,1311.099,2705.756,0.4845592137650254,Beverage,Ecomm,1,0,1,2024-10-21
188,2024-09-01,1617.954,432.469,0.0,Beverage,Ecomm,1,0,1,2024-10-21
189,2024-07-01,1595.924,10613.813,0.15036292800711681,Beverage,Ecomm,0,1,1,2024-10-21
190,2024-08-01,1311.099,2705.756,0.4845592137650254,Beverage,Ecomm,0,1,1,2024-10-21
191,2024-09-01,1617.954,432.469,0.0,Beverage,Ecomm,0,1,1,2024-10-21
192,2024-07-01,15629.189999999999,17350.073,0.9008140772664184,Beverage,Export_Re-Export,1,0,1,2024-10-21
193,2024-08-01,13254.23,15647.34,0.8470596280262331,Beverage,Export_Re-Export,1,0,1,2024-10-21
194,2024-09-01,15958.59,9873.82,0.3837471211749859,Beverage,Export_Re-Export,1,0,1,2024-10-21
195,2024-07-01,15629.189999999999,17350.073,0.9008140772664184,Beverage,Export_Re-Export,0,1,1,2024-10-21
196,2024-08-01,13254.23,15647.34,0.8470596280262331,Beverage,Export_Re-Export,0,1,1,2024-10-21
197,2024-09-01,15958.59,9873.82,0.3837471211749859,Beverage,Export_Re-Export,0,1,1,2024-10-21
198,2024-07-01,43291.481999999996,63731.668,0.6792774041313339,Beverage,Retail,1,0,1,2024-10-21
199,2024-08-01,41141.751,52202.282,0.7881216955228125,Beverage,Retail,1,0,1,2024-10-21
200,2024-09-01,39827.685,63753.944,0.6247093513147985,Beverage,Retail,1,0,1,2024-10-21
201,2024-07-01,43291.481999999996,63731.668,0.6792774041313339,Beverage,Retail,0,1,1,2024-10-21
202,2024-08-01,41141.751,52202.282,0.7881216955228125,Beverage,Retail,0,1,1,2024-10-21
203,2024-09-01,39827.685,63753.944,0.6247093513147985,Beverage,Retail,0,1,1,2024-10-21
204,2024-07-01,210672.607,204388.486,0.9692540361593559,Beverage,ALL,1,0,1,2024-10-21
205,2024-08-01,166472.198,191976.078,0.8671507394791136,Beverage,ALL,1,0,1,2024-10-21
206,2024-09-01,182796.04,204221.571,0.8950868368356641,Beverage,ALL,1,0,1,2024-10-21
207,2024-07-01,210672.607,204388.486,0.9692540361593559,Beverage,ALL,0,1,1,2024-10-21
208,2024-08-01,166472.198,191976.078,0.8671507394791136,Beverage,ALL,0,1,1,2024-10-21
209,2024-09-01,182796.04,204221.571,0.8950868368356641,Beverage,ALL,0,1,1,2024-10-21
210,2024-07-01,46764.64,54206.826,0.8627075859412983,Fat & Oil,B2B,1,0,1,2024-10-21
211,2024-08-01,53087.275,54896.541,0.9670422586370242,Fat & Oil,B2B,1,0,1,2024-10-21
212,2024-09-01,52104.043,45061.365,0.8437091730354818,Fat & Oil,B2B,1,0,1,2024-10-21
213,2024-07-01,46764.64,54206.826,0.8627075859412983,Fat & Oil,B2B,0,1,1,2024-10-21
214,2024-08-01,53087.275,54896.541,0.9670422586370242,Fat & Oil,B2B,0,1,1,2024-10-21
215,2024-09-01,52104.043,45061.365,0.8437091730354818,Fat & Oil,B2B,0,1,1,2024-10-21
216,2024-07-01,578.869,710.803,0.8143873900363392,Fat & Oil,Ecomm,1,0,1,2024-10-21
217,2024-08-01,573.543,824.32,0.6957771253881988,Fat & Oil,Ecomm,1,0,1,2024-10-21
218,2024-09-01,649.545,661.731,0.9815846620454535,Fat & Oil,Ecomm,1,0,1,2024-10-21
219,2024-07-01,578.869,710.803,0.8143873900363392,Fat & Oil,Ecomm,0,1,1,2024-10-21
220,2024-08-01,573.543,824.32,0.6957771253881988,Fat & Oil,Ecomm,0,1,1,2024-10-21
221,2024-09-01,649.545,661.731,0.9815846620454535,Fat & Oil,Ecomm,0,1,1,2024-10-21
222,2024-07-01,38483.891,62614.69,0.6146144139657963,Fat & Oil,Export_Re-Export,1,0,1,2024-10-21
223,2024-08-01,39248.257,58405.501000000004,0.6719958964139353,Fat & Oil,Export_Re-Export,1,0,1,2024-10-21
224,2024-09-01,39392.29,57453.792,0.6856342919889431,Fat & Oil,Export_Re-Export,1,0,1,2024-10-21
225,2024-07-01,38483.891,62614.69,0.6146144139657963,Fat & Oil,Export_Re-Export,0,1,1,2024-10-21
226,2024-08-01,39248.257,58405.501000000004,0.6719958964139353,Fat & Oil,Export_Re-Export,0,1,1,2024-10-21
227,2024-09-01,39392.29,57453.792,0.6856342919889431,Fat & Oil,Export_Re-Export,0,1,1,2024-10-21
228,2024-07-01,5321.675,5781.503,0.9204656643782768,Fat & Oil,Retail,1,0,1,2024-10-21
229,2024-08-01,5637.426,6943.131,0.8119429116345349,Fat & Oil,Retail,1,0,1,2024-10-21
230,2024-09-01,6778.33,6380.72,0.9376857157186024,Fat & Oil,Retail,1,0,1,2024-10-21
231,2024-07-01,5321.675,5781.503,0.9204656643782768,Fat & Oil,Retail,0,1,1,2024-10-21
232,2024-08-01,5637.426,6943.131,0.8119429116345349,Fat & Oil,Retail,0,1,1,2024-10-21
233,2024-09-01,6778.33,6380.72,0.9376857157186024,Fat & Oil,Retail,0,1,1,2024-10-21
234,2024-07-01,91149.075,123313.822,0.7391634897181274,Fat & Oil,ALL,1,0,1,2024-10-21
235,2024-08-01,98546.501,121069.493,0.8139664134878305,Fat & Oil,ALL,1,0,1,2024-10-21
236,2024-09-01,98924.208,109557.60800000001,0.9029423862558226,Fat & Oil,ALL,1,0,1,2024-10-21
237,2024-07-01,91149.075,123313.822,0.7391634897181274,Fat & Oil,ALL,0,1,1,2024-10-21
238,2024-08-01,98546.501,121069.493,0.8139664134878305,Fat & Oil,ALL,0,1,1,2024-10-21
239,2024-09-01,98924.208,109557.60800000001,0.9029423862558226,Fat & Oil,ALL,0,1,1,2024-10-21
240,2024-07-01,232955.10199999998,240171.676,0.9699524351905675,Dairy,B2B,1,0,1,2024-10-21
241,2024-08-01,238261.016,284255.268,0.8381938448366769,Dairy,B2B,1,0,1,2024-10-21
242,2024-09-01,266901.45,238605.276,0.8814101076289697,Dairy,B2B,1,0,1,2024-10-21
243,2024-07-01,232955.10199999998,240171.676,0.9699524351905675,Dairy,B2B,0,1,1,2024-10-21
244,2024-08-01,238261.016,284255.268,0.8381938448366769,Dairy,B2B,0,1,1,2024-10-21
245,2024-09-01,266901.45,238605.276,0.8814101076289697,Dairy,B2B,0,1,1,2024-10-21
246,2024-07-01,1944.978,1862.132,0.9555101356939251,Dairy,Ecomm,1,0,1,2024-10-21
247,2024-08-01,1928.1499999999999,1594.054,0.7904111153072608,Dairy,Ecomm,1,0,1,2024-10-21
248,2024-09-01,1664.4560000000001,1579.124,0.9459624450011525,Dairy,Ecomm,1,0,1,2024-10-21
249,2024-07-01,1944.978,1862.132,0.9555101356939251,Dairy,Ecomm,0,1,1,2024-10-21
250,2024-08-01,1928.1499999999999,1594.054,0.7904111153072608,Dairy,Ecomm,0,1,1,2024-10-21
251,2024-09-01,1664.4560000000001,1579.124,0.9459624450011525,Dairy,Ecomm,0,1,1,2024-10-21
252,2024-07-01,19657.714,26326.0,0.7467034110765023,Dairy,Export_Re-Export,1,0,1,2024-10-21
253,2024-08-01,18949.074,27138.37,0.6982392089134315,Dairy,Export_Re-Export,1,0,1,2024-10-21
